[FILL] a	ACTION	AGENT/OBJECT	SCOPE1	QUALIFIER	[FILL] is used to	FOR/PURPOSE	PATIENT	[FILL] by	AGENT/THING WHO USES	[FILL] by/through	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		seconds			are used to	measure	time									40b8-ce9a-9919-60f8	
a		seed			is used for	storing	food					for a new plant		#1600		0e62-10ed-825a-6a1b	
		seeing			is used for	sensing	visual things							#1422		627d-87b0-4a4a-7cad	
a		seismograph			is used for	measuring	the size of an earthquake							#1674		eb11-ce60-5982-6b34	
a		seismometer			is used to	measure	the strength or magnitude of an earthquake							# Q 1508		0b41-0bce-3131-bd88	
		sense			is used for	obtaining	information					about one's environment		#560		d459-a147-6ed7-082c	
the		senses			are used for	making	observations							#1040		23fc-b5e5-a912-d966	
		sensory organs			are used for	sensing								# Q 2450		9bdd-4aab-178f-0873	
a		sharp object		can be	used for	protection								#1480		bc7a-22e8-2ef0-acba	
		shelter			is used for	protection		by	animals			against weather				d5fc-0707-ab28-947f	
a		shelter			is used for	living in		by	animals					#806		593d-3e3b-bb10-5476	
a		ship			is used for	moving	people; products					across bodies of water		#584		a047-3def-21a6-4a8e	
a		sifter			is used for	separating	mixtures									6c0c-f513-3f7d-0aba	
the		skeleton	of an animal	can be	used for	inferring	the height; the length					of that animal		#3083		8a91-3265-6cde-ae6b	
	comparing	skeletons of an animal that lived long ago and skeletons of the same species of animal that lived recently		can be	used to	show	the evolution					of that species		#2378 further decompose		7468-211c-6581-fc58	
		skin			is used for	protecting	the body					from harmful substances		#766		66b1-8f1d-a430-34b4	
		skin			is used for	breathing	air	by	frogs					# Q 2476		d7ab-3a39-cef6-e3a9	
a		skinny beak			is used for	obtaining	food	by	a bird			from small spaces		#861		69ed-b6ca-35e1-902c	
the		skull	of an animal	can be	used to	determine	if that animal was a carnivore or an herbivore							# Q 2411		afb3-0848-efcb-4bbb	
		smell			is used for 	finding	food	by	some animals							6e34-c92d-1310-8c3a	
		smell			is used for	detecting	odor							#412		79eb-3a4e-d5f4-4f1b	
	monitoring	something			is used for	knowing	information					about that something		#1432		bc99-3dfb-5779-7a60	
		something			is used for		that something's purpose							#544		7e9a-996d-16bb-0273	
		something 	from long ago	can be	used for	studying	history							#1429		e62c-4993-16db-bb58	
		something hard; something strong		can be	used for	protection										773a-31a5-f976-927c	
		something's function		can be	used to	describe; identify	that something							# Q 1552		aa9b-a7b0-3501-e36c	
		sonar			is used to	find	the location of an object			by	sound waves			#492		2ab2-9c07-636c-eaca	
		sound		can be	used for	communication		by	animals							a948-3b4d-ac8c-27e6	
a		source	of heat	can be	used to	heat	something							#830		b62f-8dfd-e486-3a96	
a		source	of heat	can be	used to	heat	something							duplicate	SW b62f-8dfd-e486-3a96	b504-fe0c-2e70-84b4	
		specialized tissues	at the ends of plant stems		are used for	growing taller		by	plants					#1376		e1d3-5fb3-b1c4-5332	
a		speedometer			is used for	giving	a driver					feedback on the speed of their vehicle		#2834		0a7c-d9fa-1622-6881	
a		spider web			is used to	capture food		by	spiders					# Q 1718		700a-4b04-6cef-9114	
a		station model			is used for	displaying	information about weather in a particular point and time							#3179		9a0f-f7d4-f374-0b10	
a	curling	stem			is used for	climbing	objects	by	vines					#438		7623-6dd6-7402-2c35	
a		stem			is used to	store	water	by	some plants					#1692		5708-ce9b-2605-1881	
a		stinger			is used for	defense; stinging		by	a wasp; a bee					#1099		a8c3-f9b0-6fbf-1116	
a		stopwatch			is used to	measure	time									91bf-d72e-f4e5-1526	
a		stove			is used for	cooking				by	generating heat					2c1e-d35c-e708-676c	
a		street map		can be	used for	determining	distances between places; cardinal directions; road names							#3084		65d9-0d50-438f-e283	
a		street map		cannot be	be used for	determining	elevation							#3084		39d0-9465-5491-9b5a	
the		structure	of an organism's anatomy		is used to	classify	the organism					into the appropriate taxonomic rank		# Q 2743		e833-baf8-81c8-24e5	
	examining	structures	at the molecular level		is being used to	reclassify	organisms							#3253		681d-2e74-bda6-197d	
		sunglasses			are used for	reflecting	light rays					away from the eyes		#1816		010f-22bb-c786-5a0e	
		sweat			is used for	adjusting	to hot temperatures	by	some animals					#302		4822-2d16-dd11-2f6f	
a		switch			is used to	start; stop	the flow of current			by 	closing; opening	the electric circuit		#1058		9580-9f11-5f23-3df4	
a		tag			is used for	monitoring	an object's location							#1432		09b3-241c-6fef-fc12	
a 		tape measure			is used to	measure	length; distance									1f6a-7744-7f91-26b5	
the		teeth	of an animal	can be	used for	inferring	the diet					of that animal		#3083		5ea5-9ddf-235c-1e56	
a		telephone			is used for	communication		by	humans			over long distances				a5c9-d7a4-8421-bb2e	
		telephones			are used for	communication		by	two people	by	transmitting sound					ba4a-e0d4-486c-cf9f	
a		telescope			is used for	observing	stars;planets;moons;distant objects; the sky; celestial objects	by	astronomers					# perhaps the patient should be "celestial bodies" and all current patients should be entered into the KindOf table under "celestial body"		4383-694e-b4d4-cd5d	
a		television		can be	used for	communication								# Q 1592		911e-1d6c-cbba-c371	
	repeating	the same experiment		can be	used for	comparing 	data							# Q 2494		b374-e58a-0a5f-ebda	
		thermal gloves			are used for	protecting	the hand					against heat		#1823		56cf-e6c1-7c3f-a742	
a		thermal insulator		can be	used to	remove	hot objects					from a heat source		# Q 914		a79c-b257-b8ca-1792	
a		thermometer			is used to	measure	temperature									8346-8315-1f24-a5be	
		thick fur; thick feathers		can be	used for	keeping warm								# Q 1105		f42f-c815-0b10-13ce	
		thirst			is used	to make an animal realize that it needs to replenish its bodily water		by	the body					#2695		c3fc-281f-3d87-7c77	
		tidal energy		can be	used to	produce	electricity							#2189		2dc8-0f5e-7f78-4dce	
		touch		can be	used for	detecting	texture							#498		df67-2c42-2ea5-500d	
		transportation technology			is used for	moving	people; products							#2302		5473-4fe3-ecbc-5d8c	
a		tube			is used for	transporting	liquids									79d6-2fd6-a4dc-26f2	
a		utensil			is used for	eating								#2934		6a78-4537-bde0-984f	
the		uterus			is used in	reproduction								# Q 2417		cabf-eca1-c663-11e8	
		vacuoles			are used for	storing	water; food	by cells						#2303		d827-ebcf-8283-fb49	
a		vehicle			is used for	travel								#350		f06b-ece5-aa6c-f069	
a		vehicle			is used for	transportation								#589		6b1d-7b44-edfd-1acc	
a		vehicle		can be	used for	transferring								# Q 2456		20bc-f543-75f6-5432	
		vertical webs			are used for	catching	flying insects	by	spiders					#2926		1225-bcd5-e24c-1ebd	
the		volume	of an object	can be	used to	describe 	the size					of that object		# Q 201 		0cdb-042b-7900-4dee	
the		vomiting reflex			is used to	remove	toxic material from the stomach					before it is absorbed		#3372		29e9-b1a6-0e79-652a	
a		watch;clock;stopwatch			is used for	measuring	time									563d-53cc-0a8a-e8da	
	conserving	water		can be	used for	survival						in a dry environment		# Q 1117		d7fb-3cde-4016-edb4	
	treating	water			is used to	remove	harmful substances					before drinking		#1221		a55e-c07d-73ca-c903	
		waxy leaves			are used for	storing	water	by	some plants					#1411		5b67-9424-b9f5-a268	
		weather stripping			is used for	reducing	heat loss	by	convection					#2344		dc88-23d7-1136-1198	
		webbed feet			are used for	moving faster through	water	by	aquatic animals							577f-1491-e68d-776d	
		whiskers			are used for	feeling		by	animals					# Q 1180		a57e-6830-a887-2134	
a		white tile		can be	used as a	streak plate								# Q 2 		efad-c789-3790-7d85	
		wind			is used for	producing	electricity							#2018		1136-1a04-e6e6-5b99	
		wings			are used to	fly	through air	by	birds							a1e0-a2f2-a898-9507	
	burning	wood			is used to	produce	heat									cf2f-78eb-312b-8a6f	
		x-rays			are used in		medical technology							#2367		3d25-1af0-d0b4-4109	
	living underground			can be	used for	hiding	from predators							# Q 1104		384c-ef0b-e148-70c7	
	camouflage				is used for	protection; hiding		by	prey; animals			against predators; from predators		# against preposition -- not clear how to annotate this (additional column?  or generic condition in SCOPE?)		ac8a-77b3-7190-7751	
	hearing				is used for	sensing	sound	by	animals							372c-c52a-b8f0-bc43	
	evaporation; boiling			can be	used for	separating	a solution			by	allowing the solvent to evaporate			# Q 2248		317c-5ea4-8f0c-5be5	
	howling				is used to	warn	other wolves	by	wolves					# Q 2702		1481-8178-6b08-6486	
	sneezing				is used for	getting rid of	bacteria; viruses	by	the body					#3222		5502-6ab1-6c2d-cba2	
a	beaker				is used for	measuring	the volume of substances									fbc1-b668-75a4-a167	
		genetic information		can be	used for	making	proteins									205f-a820-0cda-de3c	
		genetic information		can be	used for	repairing	damage	by	proteins							566e-c955-a8f7-bbfe	
		tissue plasminogen activator		can be	used as a		blood thinner									d015-590a-9b63-d759	
a		blood thinner		can be	used to	treat	people with heart attacks and strokes									8517-0b9d-eddc-ef54	
		technology			is used for	application of science										65fe-9314-794f-382d	
		cookware			is used for	cooking										c8c4-724a-1ec1-a2d0	
		genes		can be	used for	classifying 	organisms									f87b-90cb-5a12-c2e3	
the		shape of the crystal	of a substance	can be	used for	identifying	the substance									93dc-83a4-40b7-18be	
	filtration			can be	used for	separating	a mixture					of a liquid and a solid				49ec-9e7f-a4cc-459a	
	evaporation			can be	used for	separating	a mixture					of a liquid and a solid				4384-a78c-52f2-e2ff	
	magnet			can be 	used for	separating	a magnetic material					from a mixture of a magnetic and nonmagnetic material				9222-202b-8d8e-2b9e	
a		sieve		can be	used for	separating	a mixture					of different sized solids				b82b-6d71-bf8c-5e9c	
the		Periodic Table	of Elements	can be	used for 	predicting; determining	the properties					of an element				7e2c-d34c-4748-2ef7	
the		structure 	of an atom	can be	used for	identifying	the element									56bf-d72d-d8a5-b357	
a	glowing	splint		can be	used for 	identifying	a gas									d4d7-5043-c289-bcf0	
		non-reactive gases		can be 	used for	preserving	incandescent light bulb filaments									8345-7b6a-2a5c-194c	
		gold		can be	used for	making	jewelry									26cb-ad6b-2da9-0400	
		tree rings		can be	used to	provide	evidence					of the changes in climate				5d70-6756-e9f5-5ef0	
		types	of clouds	can be	used to	predict	the possibility of tornadoes developing					in a location				fc0a-babc-5678-4676	
		electromagnetic waves		can be 	used to	transmit	information 					through space				d740-f886-ffa6-660d	
		radio transmitters		can be 	used to	track 	animals									5db8-f3a2-d4c4-4bd1	
a		seismograph			is used to	measure	the earthquake waves									8bf7-a710-1eb8-44a6	
		sound wave		can be	used to	measure	distance			by	measuring the time delay of the reflected wave					78e7-ae4d-49b6-71a4	
the	refraction	of seismic wave		can be 	used to	interpret 	the interior of structure of earth									f038-3cd6-5ff3-fcc9	
		pitch	of a sound	can be 	used to	describe	the frequency of the sound wave									8f20-64a3-80f3-cf1e	
		whistle		can be 	used to	alert	players	by	a referee	by	blowing air	in the whistle				2ea9-c79e-f8b4-2b06	
		the length	of time of a substance burning	can be	used to	measure	the amount of the chemical energy					in the substance				9ef6-5cf6-ae09-5271	
		oil		can be	used to	light up	the lamp			by	burning					d98e-766c-9e88-c610	
		batteries		can be	used to	power	electrical devices									852a-c51d-063b-4596	
		light energy		can be	used to	heat up 	an object			by	radiation					e3e4-9c59-a513-0e9a	
		heat energy 		can be	used to	heat up 	an object									79a4-d545-803f-bd33	
		microwave		can be	used to	investigate	low-energy radiation emitted					when the universe began				6b7a-b9d3-11ee-da7b	
		lasers		can be	used to	make	cuts									d9fe-b293-f75e-b018	
	measuring	the red shift	of a galaxy	can be 	used to	determine	the speed and general direction of motion of the galaxy					relative to Earth				99ae-d6df-1dd6-1d3f	
a		convex lens			is used		in camera									e7ab-3105-9dc3-4a4c	
a		resistor			is used to	control	the amount of current					in the electric circuit				70d9-efdf-5b8c-1e7a	
		gamma radiation 		can be	used to	provide information	for astronomers					about high-energy events in space				4f6d-5e7f-8cd1-8c22	
a		space probe			is used for	collecting;analyzing	materials; samples; information									2999-9783-02c2-9470	
the		fins	in a baseboard system		is used to	dissipate 	the heat of the hot water									bbcd-97ee-48a4-9662	
		photovoltaic cells		can be	used in		handheld calculator									1556-fc51-5a08-5eab	
		heat sinks			are used to	lower	the temperature of the computer 			by	scattering heat	into the surrounding area				9ecb-2c1c-1f23-da15	
a		lawnmower			is used to	cut	grass									73ed-3709-fc7a-b665	
a		light-year			is used for	describing	long distances									42f0-a182-922d-511a	
		wastewater treatment			is used for	recycling	water for human use									d221-b23c-e188-ec89	
		biomass			is used for	producing	gasohol									707c-7e2c-a55b-b2a4	
		sonar		usually	is used for 	locating	objects underwater									5691-d1a2-79e8-0fc3	
a		saw		can	be used to	cut	objects   									9c5f-65f4-0aca-255b	
		binary stars		can	be used to	determine	a star's mass									c4fd-9041-d0b3-e478	
a		petri dish	in a lab		is used to	grow	bacteria					in a controlled setting				9cbe-c20f-b16b-4fd2	
a		dissecting kit			is used to	dissecting; study anatomy										0703-90fa-47d1-bd86	
		subtraction		can	be used to	find 	the difference 					between two things				fd9e-2e83-ca7e-a9dd	
		atomic number			is used to	describe	the proton number					of an element				69a3-a061-33ea-e758	
		valence electrons			are used to 	describe	electrons					on the outer electron shell				788e-2a30-a662-9602	
		wet mount			is used to	observe 	live organisms			by	using a microscope					ff56-e8f7-81ae-8e89	
		color of the soil		can	be used to	indicate	the soil component									8c5b-db43-e4a0-0974	
		Saffir-Simpson scale			is used to	measure	the intensity and distructive potential					of hurricanes				845a-ecc5-72cc-2e16	
the		origin of rocks		can	be used to	classify	rocks									13bf-8e7c-2585-a556	
		bauxite		can	be used to	produce	aluminum							AFFORDANCE	SW a569-d89b-a113-f74d	18e4-47b8-5554-8318	
		ultraviolet light		can 	be used to	identify	the fluorescence 					of a mineral				05a3-30c1-937b-b8f8	
a		streak plate		can	be used to	determine	the hardness					of a mineral				cd93-2714-3e29-9def	
		cleavage pattern		can	be used to	identify	minerals									8c1e-e28e-04ee-4cad	
	breaking	a piece of a mineral	into flat sheets	can	be used to	find out 	the cleavage pattern					of the mineral				cb05-efdb-180b-02d8	
		Bowen's reaction series			is used to	represent	the formation					of minerals				4787-9157-f418-0dd7	
		hardness		can 	be used to	identify	minerals									2bc5-2931-e694-ba1a	
		radiometric dating			is used to	identify; determine	the absolute age					of the rock				cdd5-b6fa-df05-0eff	
		rock formation		can	be used to	study	the history of rocks					on Earth				b3ae-8af6-0c35-1bb2	
		fossils		can	be used to	study	the history of organisms and environments					on Earth				094f-536c-e31e-1f73	
		fossils		can	be used as	evidence for 	the existence					of a kind of organism				215f-5f51-dd70-1433	
the		law of superposition		can 	be used to	determine	the relative age					of the rock				d671-cda9-6231-f866	
		mass spectrometer			is used to	determine	the relative age					of the rock				4f24-f389-8943-a78d	
		index fossils		can	be used to	determine	the age of the rock layer					of those index fossils				9b4d-3a3f-d644-e247	
		fossils		can	be used as	evidence for 	the ancient environment									a8f0-0fb7-9694-319b	
an		internal combustion engine			is used to	move	the automobile									f58a-3073-53ae-87b4	
the		radioactive isotope content	of a rock		is used to 	identify	the age					of the rock				d01d-88be-f7ad-9186	
a		catalyst			is used to	speed up	the speed					of a chemical reaction				1e97-f26b-2013-2eb4	
		fossils		cannot	be used to	infer	the skin color					of an extinct animal		negation		8bb7-dde1-bfab-490b	
the		skeletal system			is used to	give structure for	the body					of animals				281b-1064-ba38-7da4	
the		skeletal system			is used to	provide	protection; shape; support					for animals				1a92-e330-2321-97aa	
the		shell	of an animal		is used to	protect	the animal									a400-d150-a8db-cc9d	
